city,zoning
LR,CM
LR,HI
LR,D21
LR,CPD
PD,M2
PD,C3
PD,M1
PD,C2
PD,R4
LC,RA7000
LC,R3
PD,CPD
PO,C4
PD,CP
PD,MX
PD,MPD
PD,M4
LR,M1 1/2
LR,LI
LR,M1
LR,C3
LR,MU
LR,M2
LR,C3-CPD
LR,C3DP
LR,C2-PR
LR,C2
LC,C3
SC,OS
SC,BP
NA,NA
SC,SP
SC,MX-N
LC,A2
SC,CC
SC,I
SC,PI
SC,CR
SC,CP
LA,C2
LA,M1
LA,MR1
LA,RA
LA,P
SF,M1
SF,C2
SF,C2-C1
SF,C1
LA,M2
LA,CM
SF,C2-R1
LA,A2
LA,M3
BU,M2
BU,M1
BU,C4
BU,C3
BU,C3YY
BU,C2
BU,C-3
LA,C4
LA,MR2
LA,CR
LA,C1.5
LA,RAS4
LA,RS
LA,R3
LA,C1
LA,R1
LA,WC
LC,M1
CS,CT
LC,C2
LA,A1
LA,RE40
SM,C6
SM,C4
SM,BCD
SM,C3
SM,BSC1
SM,C3C
SM,RVC
SM,CC
CC,M2YY
CC,C3
ES,CMYY
ES,M1
MN,CNE
HB,C2YY
HB,M
HB,M1YY
HB,C3
MN,CL
MN,CC
MN,CG
ES,CM
HA,C2
HA,C2YY
HA,R3YY
HA,CMYY
LN,M1YY
LN,M1
LN,C3YY
RB,R-1A
RB,C-2
HB,C3YY
RB,R-3A
RB,C-3
RB,C-2-PD
TO,C2YY
TO,HC-GEN
TO,HC-CTR
RB,I-2
TO,CC-GEN
TO,MI-LT
TO,MI-BP
GA,M1
GA,C3
GA,O
GA,MUO
GA,M2
GA,SP
GA,P
HA,M1
LC,M1YY
LC,C2VV
HA,MI
LC,C3YY
LA,R4
IN,C2YY
IN,RM
LC,M1VV
LC,CMYY
HA,M1YY
HA,C1
IN,M1
1N,C2
LC,R2
IN,CS
IN,CSYY
IN,C1
IN,C1D
IN,C3YY
IN,R3
CC,C3E
LC,C4YY
LC,C2YY
IN,C3
LA,RD1.5
LA,CR(PKM)
BH,C3
BH,C3YY
CC,C3YY
CC,M1
CC,M1YY
CC,C-3
CC,OS
CC,M2
CC,C2YY
CC,C1YY
CC,C1
LA,C4(OX)
LA,CM(GM)
LA,RD2
SM,CM4
SM,CM2
SM,C2
SM,C5
SM,M1
SM,R1
SM,LMSD
LA,PF
BH,M2
BU,C2YY
WD,C2A
WD,R4
LC,CM
WD,C1A
WD,C1
WD,C2C
LA,MR
LA,MR-1
LA,R5
GL,M1
BU,M2YY
BU,C4YY
GL,M2
GL,M1-A
GL,M2YY
GL,C3
GL,R4
GL,C3YY
LA,OS
LA,R2
GL,CM-R4
GL,CM
GL,CI
PS,C-
LC,C3VV
PS,C
PS,CD
PS,R
SP,C1
SP,CM
SO,R109
SO,C1
AL,CPD
AL,CBD/DRD
AL,RPD
AL,MPD
AL,CPD-RPD
AL,CO
MP,SP
MP,C4
MP,C3
MP,C4CD
MP,C1
MP,M
LC,K2
LC,M2
LA,UI(CA)
LA,UV(CA)
LA,CW
LA,R5P
LA,C5
VE,M
HP,M2
HP,M3
HP,CBD
HP,CG
HP,CPYY
SG,R4
LC,C1
HP,CN
SG,CR
LC,R2YY
LC,M2-M1
CO,ML
CO,RL
CO,CL
LC,M2-B2
LC,M11/2
LC,M11/2-B1
CA,ML
CA,MH
CA,ML&D
LC,M1-B1
LC,M2-B1
CO,CM
CO,MH
CA,SP-2&ML
CO,PRL
CO,PRH
LY,C2A
LY,M
LC,R3VV
LY,C3
SG,CM
LG,C3
SG,C2
SG,M3
CU,M2
SG,M2
BG,CM
SG,M3YY
SG,CMYY
SG,C3
LY,C2
CO,C2
LB,CNA
PA,M2
LC,CPD
LC,C3-P-
PA,C3
PA,CM
DO,C3
DO,C4
PA,R1
BF,M1
BF,CG
DO,M1-C2
BF,CN
DO,M1
DO,M2-C4-P
DO,M2
DO,C4YY
DO,R3
DO,R105
DO,C3-M1
DO,M2-C3
DO,C-1
DO,C1
BG,M1
BG,M1-R3PD
BG,C4
MN,M2
CM,M2
MN,M1
MN,C2
MN,C2YY
CM,M2YY
CM,M1
CM,M1YY
BG,R3
BL,C3R
CU,CM
HP,M1-M2
BL,C3
BL,M
MY,C1YY
MY,M1
BL,T
MY,CMYY
MY,C2YY
MY,C2
CM,C2
LC,R3YY
LC,M1DP
MP,C2YY
MP,C2
MP,R1
RM,C3
MN,RA0
RM,R2
RM,M1
EM,M2
SE,M
EM,C3
EM,C2D
EM,C2
EM,C1
EM,C2R1A
EM,M1
EM,R4P
SE,C
LC,A1
SE,CM
LC,M1 1/2
PR,CG
PR,IG
PR,1G
PR,IL
DO,C4-C1
SS,M1-BP
DO,C4-P
DO,C4-R15000
DO,M1-M2
BF,ECG
NO,C1-P
NO,MI
NO,C3
NO,C3-P
NO,CO
NO,COPF-R310000
NO,CM
NO,R15000(PF)
NO,C3PF
NO,C1
SS,M2
SS,M2PD
SS,M2-BP
LM,C4
WH,C2YY
WH,C2
WH,CO
WH,C1-R3
SS,M1
WH,M2
WH,MZ
WH,M1
WH,C3-PP
WH,C0
WH,C2UD
LC,RA1L
ID,C
LC,C2BE
LC,CHDP
LC,A16000
ID,M
1D,M
LC,C1VV
WC,NC
LP,C2YY
LP,C2
LP,R4
LC,M1 1/2 BE-B1
BP,CM
BP,I
LC,C3BE
LC,A106
BP,C1
IR,M1
BP,C2
WC,IP
WC,RC
WC,PB
WC,CR
WC,R17500
CV,C2
WC,M1YY
IR,C3
IR,M2
IR,M2YY
DU,M1
AZ,M1
MO,PD
MO,RM
MO,CD
MO,CG
MO,P/QP
MO,M
IR,M2S
AR,M1
AR,M1D
AR,MID
AR,R2YY
TC,C1
TC,C2YY
RM,CBD
MP,CM
MP,R3
RM,P
SL,C3
SL,C1
SL,M1-C1
SL,M1YY
SL,M1D
SL,C1D-R3
SL,C1D
SL,C2D
SL,C1-R3
SL,R1YY
SL,C2
TC,C3
TC,C2
TC,C2-C3
SL,R3YY
SO,CC1
SO,C1YY
PS,M
AR,C2YY
AR,C2H
SR,C1CC
LF,C2
GL,M1A
GD,R_RT66SP_CRR
GD,C_RT66SP_RSC
GD,C_RT66SP_GMU
GD,C_RT66SP_TCMU
GD,C3
GD,CCAP
AZ,M2
AZ,CBD
AZ,CBD-P
GD,R_GA_PD
CV,CR
CV,C4
CV,C4YY
CV,M1
CV,M1YY
WC,CS
WC,CN
CV,R17500(PCD)
CV,C3A
CV,TCC
CV,R3-RD1250
CV,CP
CV,C3AY
CV,RD3000&PCD
CV,TCP
CV,C5YY
CV,C5VV
LC,C4
CV,C4PCD
CV,C2-C4
LC,A175
GD,M1
SD,CSP2
CV,RD1580PCD
CV,A1PCD
WA,C3
1D,MA
LC,R18000-R12000
LC,C2DP
WA,M1
PO,M1
PO,M2
LC,CA
PO,O
PO,CC
PO,C3
PO,CIND
PO,C4C-0
PO,R31000
PO,R4YY
PO,R31000S
PO,C4-T1
PO,M
PO,C2
LU,CPD
LV,CPD
LV,PID
LV,CM
LV,PI
PO,C4-T1-R16000
LC,A17000
SD,CN-AP
LV,O
SD,M1
SD,SP
SD,A11
SD,SFA7500
SD,AL
LC,A115000
CL,RM4000
CL,EYYY
CL,SP1
CL,CP
CL,RM2000
PO,C4-T4
LM,C4-P
LM,M2-M1
HG,C4
CE,CC
CE,M
LM,M2
LM,C2
SS,C4
SS,MI
NO,M2-P
NO,M2
CE,ADP2
AT,CG
CE,CN
AT,CSP
AT,MR
AT,A10000
AT,M1
AT, MI
NO,R1
CE,RM
NO,M1
CE,MC2
CE,MC
LK,R1
LK,C1
AT,CP
AT,CPD
LK,C4
LK,MFR
LK,C3
LB,CNP
LB,CNR
LB,PD30
LB,C2
LB,PD29
LB,IG
LB,CHW
LB,PD
LB,PD25
LB,R1N
LB,R3S
LB,IL
LB,CCP
LB,R2N
SH,OS
SH,M1
LB,PD7
LB,I
LB,CCN
LB,MG-PD2-R1N
BF,CG&TC
BF,CG-R2
LK,C3YY
LB,IM
LB,CCA
LB,CO
LB,CMR
LB,CC
LB,R4N
SH,M2
SH,CTC
SH,R2
SH,CG
LB,PD31
LB,CS
CA,MH&D
CA,CA
CA,CR&D
CA,CG&D
LA,R1P
LB,CH
LB,IP
RP,RS-4
LO,CG
LO,MC
TO,RR
TO,DC-CTR
TO,MR-OF
LO,XX
RB,MU-3A
RB,C-4A
RE,C0
LC,RPD100.6U-C3D
AH,C3
AH, CRS-FC-OA
AH, BP-M-FC
AH, CRS-FC-AV
AH, CRS-FC
